FilePath,CodeLines,CommentLines,BlankLines,TotalLines,CommentDensityPct
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropAnalyzer.java,30,20,10,60,33.333333333333336
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropBlobTable.java,43,20,13,76,26.31578947368421
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropCheckConstraint.java,14,20,4,38,52.63157894736842
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropColumnDefinition.java,44,20,12,76,26.31578947368421
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropForeignTable.java,17,20,5,42,47.61904761904762
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropFunction.java,18,20,5,43,46.51162790697674
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropPublication.java,14,20,4,38,52.63157894736842
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropRepository.java,11,20,4,35,57.142857142857146
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropRole.java,14,20,4,38,52.63157894736842
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropSchema.java,14,20,5,39,51.282051282051285
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropServer.java,14,20,5,39,51.282051282051285
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropSnapshot.java,13,20,4,37,54.054054054054056
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropSubscription.java,14,20,4,38,52.63157894736842
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropTable.java,15,20,6,41,48.78048780487805
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropUserMapping.java,14,20,5,39,51.282051282051285
.\libs\sql-parser\src\main\java\io\crate\sql\tree\DropView.java,15,20,5,40,50.0
.\libs\sql-parser\src\main\java\io\crate\sql\tree\EmptyStatement.java,23,20,8,51,39.21568627450981
.\libs\sql-parser\src\main\java\io\crate\sql\tree\EscapedCharStringLiteral.java,16,20,6,42,47.61904761904762
.\libs\sql-parser\src\main\java\io\crate\sql\tree\Except.java,44,20,12,76,26.31578947368421
.\libs\sql-parser\src\main\java\io\crate\sql\tree\ExistsPredicate.java,12,20,5,37,54.054054054054056
.\libs\sql-parser\src\main\java\io\crate\sql\tree\Explain.java,25,22,8,55,40.0
.\libs\sql-parser\src\main\java\io\crate\sql\tree\Expression.java,7,20,3,30,66.66666666666667
.\libs\sql-parser\src\main\java\io\crate\sql\tree\Extract.java,31,20,6,57,35.08771929824562
.\libs\sql-parser\src\main\java\io\crate\sql\tree\Fetch.java,52,45,13,110,40.90909090909091
