language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.10  T=7.77 s (461.8 files/s 66178.3 lines/s)"
Java,.\server\src\main\java\io\crate\execution\dml\upsert\TransportShardUpsertAction.java,33,54,548
Java,.\server\src\main\java\io\crate\execution\engine\collect\sources\InformationSchemaIterables.java,92,45,542
Java,.\server\src\main\java\org\elasticsearch\repositories\RepositoryData.java,48,187,540
Java,.\server\src\main\java\org\elasticsearch\cluster\action\shard\ShardStateAction.java,65,68,535
Java,.\server\src\main\java\io\crate\protocols\postgres\PgClient.java,66,49,534
Java,.\server\src\main\java\io\crate\metadata\functions\SignatureBinder.java,57,49,525
Java,.\server\src\main\java\io\crate\types\ObjectType.java,69,46,520
Java,.\server\src\main\java\io\crate\replication\logical\MetadataTracker.java,52,42,516
Java,.\server\src\main\java\org\elasticsearch\Version.java,89,97,516
Java,.\server\src\main\java\org\elasticsearch\http\netty4\Netty4HttpServerTransport.java,75,57,515
Java,.\server\src\main\java\io\crate\execution\engine\aggregation\impl\TopKAggregation.java,90,30,508
Java,.\libs\shared\src\main\java\io\crate\common\collections\Lists.java,87,112,494
Java,.\server\src\main\java\org\elasticsearch\common\geo\builders\PolygonBuilder.java,93,219,492
Java,.\server\src\main\java\io\crate\types\DataTypes.java,60,68,491
Java,.\server\src\main\java\org\elasticsearch\cluster\node\DiscoveryNodes.java,70,161,489
Java,.\server\src\main\java\io\crate\expression\symbol\Function.java,65,31,486
Java,.\server\src\main\java\io\crate\execution\ddl\tables\TransportCloseTable.java,52,44,485
Java,.\libs\guice\src\main\java\org\elasticsearch\common\inject\internal\MoreTypes.java,110,91,481
Java,.\server\src\main\java\io\crate\execution\dml\upsert\ShardUpsertRequest.java,57,48,479
Java,.\libs\guice\src\main\java\org\elasticsearch\common\inject\internal\Errors.java,113,69,475
Java,.\server\src\main\java\org\elasticsearch\repositories\RepositoriesService.java,75,105,472
Java,.\server\src\main\java\org\elasticsearch\cluster\service\ClusterApplierService.java,75,69,470
Java,.\server\src\main\java\org\elasticsearch\cluster\routing\allocation\AllocationService.java,71,112,465
Java,.\server\src\main\java\io\crate\replication\logical\repository\LogicalReplicationRepository.java,51,35,464
Java,.\server\src\main\java\io\crate\types\ArrayType.java,58,45,458
Java,.\extensions\functions\src\main\java\io\crate\operation\aggregation\HyperLogLogDistinctAggregation.java,77,33,456
Java,.\server\src\main\java\io\crate\metadata\SystemTable.java,80,28,456
Java,.\server\src\main\java\org\elasticsearch\cluster\ClusterState.java,90,60,452
Java,.\server\src\main\java\org\elasticsearch\index\translog\TranslogWriter.java,51,87,447
Java,.\server\src\main\java\org\elasticsearch\index\shard\RemoveCorruptedShardDataCommand.java,86,36,446
Java,.\server\src\main\java\org\elasticsearch\common\settings\ClusterSettings.java,17,21,445
Java,.\server\src\main\java\io\crate\protocols\http\HttpBlobHandler.java,54,40,443
Java,.\server\src\main\java\org\elasticsearch\cluster\metadata\RelationMetadata.java,83,23,443
Java,.\server\src\main\java\io\crate\statistics\TableStatsService.java,47,31,440
Java,.\server\src\main\java\org\elasticsearch\index\analysis\AnalysisRegistry.java,55,98,438
Java,.\server\src\main\java\org\elasticsearch\cluster\routing\RoutingTable.java,79,112,437
Java,.\server\src\main\java\org\elasticsearch\threadpool\ThreadPool.java,71,110,436
Java,.\server\src\main\java\io\crate\metadata\Functions.java,57,73,435
Java,.\plugins\es-analysis-common\src\main\java\org\elasticsearch\analysis\common\CommonAnalysisPlugin.java,20,29,430
Java,.\server\src\main\java\org\elasticsearch\monitor\jvm\JvmGcMonitorService.java,71,19,425
Java,.\server\src\main\java\org\elasticsearch\index\shard\StoreRecovery.java,35,75,422
Java,.\server\src\main\java\org\elasticsearch\bootstrap\BootstrapChecks.java,77,83,420
Java,.\server\src\main\java\io\crate\metadata\Schemas.java,44,113,411
Java,.\server\src\main\java\io\crate\analyze\where\EqualityExtractor.java,69,62,410
Java,.\server\src\main\java\org\elasticsearch\action\support\broadcast\node\TransportBroadcastByNodeAction.java,70,99,410
Java,.\server\src\main\java\org\elasticsearch\cluster\routing\allocation\decider\DiskThresholdDecider.java,49,103,408
Java,.\server\src\main\java\io\crate\execution\engine\collect\sources\ShardCollectSource.java,40,62,407
Java,.\server\src\main\java\org\elasticsearch\common\collect\CopyOnWriteHashMap.java,74,103,397
Java,.\server\src\main\java\io\crate\monitor\SysInfo.java,53,93,386
Java,.\server\src\main\java\org\elasticsearch\cluster\routing\ShardRouting.java,69,166,385
